epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.072,0.86756,1.52346,1.30731,0.35838,0.34174,0.3185,0.22189,1.01142,1.89634,1.52287,0.0669157,0.000195686,0.000195686
2,799.926,0.89417,1.38851,1.31704,0.63446,0.45354,0.49805,0.37459,0.81907,1.2449,1.27529,0.0337654,0.000378761,0.000378761
3,1199.74,0.86766,1.30536,1.29635,0.59793,0.54921,0.5535,0.42641,0.77706,1.06062,1.21294,0.000602232,0.000548899,0.000548899
4,1599.36,0.82018,1.18942,1.25818,0.67856,0.55083,0.6154,0.49509,0.70042,0.88976,1.13549,0.000529788,0.000529788,0.000529788
5,1999.76,0.77964,1.10507,1.22712,0.59224,0.61048,0.63859,0.52431,0.65396,0.86603,1.09563,0.000510384,0.000510384,0.000510384
6,2399.28,0.75371,1.04484,1.20952,0.68376,0.6055,0.67191,0.55546,0.63677,0.77568,1.08399,0.00049098,0.00049098,0.00049098
7,2799.41,0.73572,1.00623,1.19503,0.67027,0.67085,0.71288,0.60044,0.59358,0.71693,1.05099,0.000471576,0.000471576,0.000471576
8,3199.63,0.71904,0.96629,1.18228,0.70446,0.67332,0.72554,0.61229,0.59736,0.6957,1.0395,0.000452172,0.000452172,0.000452172
9,3599.43,0.70651,0.93348,1.17039,0.72776,0.65828,0.72291,0.61641,0.58204,0.67687,1.02303,0.000432768,0.000432768,0.000432768
10,3999.24,0.69458,0.90993,1.16106,0.69443,0.70999,0.74712,0.64093,0.55907,0.62888,1.01778,0.000413364,0.000413364,0.000413364
11,4398.61,0.68565,0.88489,1.15933,0.73034,0.71035,0.76116,0.65468,0.55483,0.61614,1.00347,0.00039396,0.00039396,0.00039396
12,4797.36,0.66939,0.85683,1.14475,0.72337,0.71941,0.76366,0.65841,0.54487,0.60145,0.99171,0.000374556,0.000374556,0.000374556
13,5197.13,0.66737,0.83714,1.13762,0.73615,0.7338,0.78173,0.67666,0.53867,0.57983,0.98505,0.000355152,0.000355152,0.000355152
14,5597.19,0.65681,0.81984,1.12964,0.74686,0.73693,0.78802,0.68471,0.53247,0.57185,0.97858,0.000335748,0.000335748,0.000335748
15,5996.85,0.64993,0.797,1.12711,0.75701,0.74311,0.79419,0.69369,0.52703,0.55964,0.98036,0.000316344,0.000316344,0.000316344
16,6396.96,0.64038,0.78165,1.12006,0.76741,0.75058,0.80078,0.69974,0.52808,0.54564,0.97102,0.00029694,0.00029694,0.00029694
17,6797.55,0.63295,0.75901,1.1112,0.75962,0.74188,0.79979,0.69963,0.52409,0.54618,0.96571,0.000277536,0.000277536,0.000277536
18,7197.56,0.62764,0.74209,1.11115,0.77009,0.75524,0.80303,0.70393,0.51909,0.54158,0.9652,0.000258132,0.000258132,0.000258132
19,7598.31,0.61961,0.7295,1.10809,0.78125,0.75129,0.80511,0.70658,0.51722,0.53664,0.96668,0.000238728,0.000238728,0.000238728
20,7998.63,0.61583,0.71257,1.10865,0.78247,0.75555,0.80704,0.71067,0.51762,0.53594,0.97296,0.000219324,0.000219324,0.000219324
21,8399.63,0.54612,0.4863,1.06339,0.78431,0.75124,0.80687,0.7095,0.51462,0.53702,0.97746,0.00019992,0.00019992,0.00019992
22,8797.66,0.53603,0.46447,1.04908,0.78366,0.7546,0.80867,0.71143,0.51371,0.5331,0.97467,0.000180516,0.000180516,0.000180516
23,9195.23,0.52664,0.43782,1.03963,0.80285,0.7368,0.811,0.71394,0.51217,0.53415,0.97164,0.000161112,0.000161112,0.000161112
24,9592.62,0.51835,0.42004,1.03129,0.79001,0.7431,0.80951,0.71355,0.51221,0.534,0.96735,0.000141708,0.000141708,0.000141708
25,9990.33,0.50999,0.40062,1.02532,0.77125,0.76045,0.8093,0.71306,0.51209,0.53562,0.96577,0.000122304,0.000122304,0.000122304
26,10387.7,0.50045,0.37934,1.01827,0.79755,0.73388,0.80768,0.71207,0.51221,0.53745,0.96586,0.0001029,0.0001029,0.0001029
27,10785.2,0.49273,0.36566,1.01516,0.7878,0.7421,0.8071,0.71186,0.5123,0.54012,0.96617,8.3496e-05,8.3496e-05,8.3496e-05
28,11182.2,0.48602,0.34535,1.01281,0.78901,0.74498,0.80805,0.71349,0.51229,0.54261,0.96702,6.4092e-05,6.4092e-05,6.4092e-05
29,11579.4,0.47796,0.33189,1.00646,0.78691,0.74457,0.807,0.71267,0.51252,0.54479,0.96774,4.4688e-05,4.4688e-05,4.4688e-05
30,11977.1,0.4718,0.31859,1.0025,0.78553,0.7442,0.80645,0.71249,0.513,0.54675,0.96887,2.5284e-05,2.5284e-05,2.5284e-05
