epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1336.81,0.84691,1.64647,1.28499,0.58021,0.45662,0.48499,0.36066,0.8496,1.2899,1.23462,0.000195843,0.000195843,0.000195843
2,2669.08,0.85837,1.19939,1.27281,0.70083,0.49649,0.55066,0.43087,0.76825,1.04991,1.1454,0.000353051,0.000353051,0.000353051
3,3992.88,0.81793,1.09211,1.23409,0.68227,0.52738,0.55978,0.4462,0.73791,1.03602,1.12579,0.00047145,0.00047145,0.00047145
4,5315.37,0.78242,1.00943,1.20442,0.70881,0.54539,0.59575,0.48563,0.68228,0.90722,1.07555,0.000413364,0.000413364,0.000413364
5,6636.87,0.73031,0.91506,1.16785,0.65553,0.5998,0.63667,0.52462,0.64191,0.81293,1.04582,0.000355152,0.000355152,0.000355152
6,7958.49,0.69018,0.83258,1.13634,0.63966,0.66351,0.68867,0.57484,0.61083,0.74679,1.0196,0.00029694,0.00029694,0.00029694
7,9279.93,0.66163,0.77442,1.1118,0.66757,0.67658,0.71044,0.60096,0.58929,0.70557,0.99256,0.000238728,0.000238728,0.000238728
8,10601.3,0.63172,0.71492,1.09234,0.69216,0.67543,0.7234,0.61756,0.56768,0.66231,0.97875,0.000180516,0.000180516,0.000180516
9,11921.2,0.6052,0.65646,1.0679,0.72784,0.68349,0.74697,0.64215,0.55759,0.62603,0.96678,0.000122304,0.000122304,0.000122304
10,13240.6,0.57962,0.60407,1.05252,0.74482,0.69414,0.75941,0.65688,0.54783,0.60883,0.95692,6.4092e-05,6.4092e-05,6.4092e-05
